,Date,HomeTeam,AwayTeam,HS,AS,HST,AST,HC,AC,HTR,FTR,WHH,WHD,WHA,diff_shots,diff_on_target
208,2001-01-01,15,16,7.0,9.0,3.0,6.0,5.0,11.0,2,H,1.83,3.3,3.6,-2.0,-3.0
213,2001-01-01,35,20,16.0,9.0,9.0,3.0,4.0,3.0,1,H,1.83,3.3,3.6,7.0,6.0
212,2001-01-01,25,40,25.0,9.0,12.0,5.0,8.0,2.0,2,H,1.28,4.5,8.0,16.0,7.0
211,2001-01-01,23,33,16.0,7.0,8.0,3.0,15.0,2.0,1,H,1.3,4.0,9.5,9.0,5.0
210,2001-01-01,22,7,9.0,8.0,3.0,4.0,5.0,3.0,0,A,1.4,3.6,7.5,1.0,-1.0
209,2001-01-01,21,26,16.0,5.0,5.0,3.0,5.0,1.0,0,D,1.57,3.25,5.5,11.0,2.0
207,2001-01-01,13,24,19.0,10.0,9.0,5.0,12.0,8.0,1,D,1.8,3.3,3.75,9.0,4.0
206,2001-01-01,12,1,13.0,7.0,5.0,3.0,2.0,5.0,2,H,1.61,3.25,5.0,6.0,2.0
205,2001-01-01,11,0,9.0,10.0,4.0,5.0,6.0,12.0,2,H,3.4,3.25,1.9,-1.0,-1.0
576,2002-01-01,23,5,15.0,7.0,5.0,6.0,4.0,8.0,1,D,1.25,5.0,8.0,8.0,-1.0
577,2002-01-01,26,16,10.0,11.0,4.0,3.0,5.0,6.0,1,H,1.83,3.2,3.75,-1.0,1.0
574,2002-01-01,12,33,13.0,8.0,6.0,5.0,2.0,6.0,2,A,1.33,4.0,8.0,5.0,1.0
573,2002-01-01,11,20,13.0,6.0,8.0,4.0,11.0,4.0,1,H,2.1,3.2,3.0,7.0,4.0
579,2002-01-01,37,3,12.0,11.0,7.0,7.0,7.0,9.0,2,H,1.57,3.3,5.5,1.0,0.0
575,2002-01-01,21,40,12.0,9.0,11.0,4.0,8.0,6.0,2,H,1.5,3.4,6.0,3.0,7.0
578,2002-01-01,35,1,18.0,8.0,11.0,4.0,7.0,0.0,1,D,2.1,2.87,3.3,10.0,7.0
5420,2007-01-01,31,40,18.0,9.0,9.0,3.0,3.0,3.0,2,H,1.9,3.25,3.4,9.0,6.0
5421,2007-01-01,41,3,14.0,8.0,5.0,5.0,5.0,5.0,0,A,2.2,3.2,2.8,6.0,0.0
5419,2007-01-01,29,37,15.0,9.0,9.0,7.0,10.0,6.0,2,D,2.3,3.2,2.62,6.0,2.0
5417,2007-01-01,26,32,13.0,6.0,7.0,3.0,7.0,3.0,1,H,1.8,3.3,3.75,7.0,4.0
5418,2007-01-01,27,25,8.0,20.0,8.0,8.0,1.0,10.0,1,D,6.0,3.4,1.5,-12.0,0.0
5415,2007-01-01,23,5,19.0,1.0,9.0,0.0,8.0,8.0,1,H,1.57,3.5,5.0,18.0,9.0
5414,2007-01-01,17,38,16.0,13.0,4.0,5.0,6.0,7.0,1,D,1.66,3.3,4.5,3.0,-1.0
5416,2007-01-01,24,16,11.0,15.0,7.0,5.0,4.0,6.0,1,H,2.2,3.2,2.8,-4.0,2.0
5682,2008-01-01,26,16,7.0,5.0,4.0,3.0,5.0,6.0,1,A,2.62,3.2,2.3,2.0,1.0
5678,2008-01-01,0,40,21.0,15.0,13.0,7.0,5.0,7.0,2,H,1.29,4.5,8.0,6.0,6.0
5681,2008-01-01,25,2,18.0,11.0,13.0,4.0,2.0,0.0,2,H,1.17,5.0,15.0,7.0,9.0
5683,2008-01-01,31,29,9.0,18.0,5.0,13.0,5.0,4.0,0,A,2.6,3.1,2.4,-9.0,-8.0
5680,2008-01-01,17,12,5.0,11.0,2.0,5.0,4.0,8.0,2,A,6.0,3.4,1.5,-6.0,-3.0
5679,2008-01-01,1,37,14.0,9.0,4.0,6.0,8.0,2.0,2,H,2.2,3.2,2.8,5.0,-2.0
942,2011-01-01,2,0,2.0,18.0,1.0,11.0,4.0,5.0,0,A,5.0,3.75,1.67,-16.0,-10.0
943,2011-01-01,23,5,16.0,10.0,7.0,4.0,7.0,4.0,0,H,1.73,3.5,5.0,6.0,3.0
944,2011-01-01,24,4,15.0,8.0,4.0,6.0,10.0,4.0,2,H,1.3,5.0,11.0,7.0,-2.0
945,2011-01-01,34,16,7.0,15.0,3.0,10.0,1.0,5.0,2,H,2.7,3.1,2.75,-8.0,-7.0
946,2011-01-01,35,3,13.0,11.0,7.0,3.0,3.0,2.0,2,H,1.85,3.4,4.4,2.0,4.0
947,2011-01-01,37,17,13.0,12.0,9.0,4.0,5.0,1.0,2,H,1.44,4.33,7.0,1.0,5.0
948,2011-01-01,39,25,17.0,5.0,8.0,3.0,4.0,5.0,1,A,6.0,4.0,1.53,12.0,5.0
949,2011-01-01,40,42,11.0,15.0,6.0,10.0,5.0,10.0,1,H,2.0,3.4,3.75,-4.0,-4.0
1320,2012-01-01,39,16,10.0,13.0,2.0,8.0,2.0,7.0,1,A,2.62,3.2,2.7,-3.0,-6.0
1319,2012-01-01,35,24,8.0,25.0,5.0,11.0,1.0,10.0,1,H,6.0,3.75,1.57,-17.0,-6.0
1716,2013-01-01,41,25,7.0,14.0,3.0,9.0,1.0,6.0,0,A,6.0,3.75,1.57,-7.0,-6.0
1715,2013-01-01,40,28,14.0,9.0,8.0,3.0,11.0,3.0,2,H,2.15,3.1,3.6,5.0,5.0
1714,2013-01-01,39,17,17.0,10.0,10.0,5.0,10.0,5.0,0,A,2.0,3.3,3.75,7.0,5.0
1713,2013-01-01,37,31,30.0,7.0,20.0,4.0,12.0,3.0,1,H,1.36,4.33,10.0,23.0,16.0
1712,2013-01-01,36,1,23.0,8.0,13.0,6.0,3.0,2.0,1,D,1.6,3.6,6.0,15.0,7.0
1711,2013-01-01,33,0,9.0,6.0,6.0,4.0,3.0,3.0,1,D,5.0,3.6,1.7,3.0,2.0
1710,2013-01-01,24,34,17.0,4.0,9.0,3.0,7.0,2.0,2,H,1.33,4.33,12.0,13.0,6.0
2091,2014-01-01,39,27,13.0,9.0,4.0,3.0,3.0,4.0,1,H,2.38,3.3,2.75,4.0,1.0
2087,2014-01-01,33,12,12.0,11.0,2.0,5.0,6.0,8.0,1,A,3.5,3.3,2.0,1.0,-3.0
2090,2014-01-01,36,24,15.0,14.0,4.0,4.0,8.0,6.0,1,A,5.0,4.2,1.53,1.0,0.0
2086,2014-01-01,25,37,16.0,9.0,6.0,4.0,13.0,2.0,0,A,1.8,3.6,4.8,7.0,2.0
2084,2014-01-01,17,40,30.0,11.0,11.0,3.0,12.0,4.0,1,H,2.38,3.3,2.75,19.0,8.0
2085,2014-01-01,23,19,17.0,10.0,6.0,0.0,3.0,4.0,2,H,1.22,6.0,9.5,7.0,6.0
2082,2014-01-01,0,10,28.0,8.0,6.0,2.0,12.0,2.0,1,H,1.18,6.0,13.0,20.0,4.0
2088,2014-01-01,34,16,10.0,16.0,4.0,4.0,2.0,5.0,1,D,3.6,3.2,2.0,-6.0,0.0
2089,2014-01-01,35,1,17.0,13.0,1.0,5.0,10.0,2.0,0,A,2.05,3.25,3.4,4.0,-4.0
2083,2014-01-01,14,28,13.0,8.0,4.0,5.0,9.0,4.0,1,D,2.3,3.0,3.1,5.0,-1.0
2470,2015-01-01,37,12,11.0,19.0,8.0,7.0,5.0,3.0,2,H,5.0,3.25,1.8,-8.0,1.0
2469,2015-01-01,34,25,11.0,6.0,2.0,2.0,11.0,7.0,1,D,4.0,3.3,1.95,5.0,0.0
2468,2015-01-01,33,0,13.0,11.0,6.0,6.0,2.0,7.0,2,H,3.0,3.0,2.5,2.0,0.0
2466,2015-01-01,27,9,10.0,15.0,4.0,4.0,5.0,5.0,2,D,1.73,3.8,4.5,-5.0,0.0
2465,2015-01-01,24,35,32.0,4.0,12.0,4.0,10.0,4.0,1,H,1.25,5.0,15.0,28.0,8.0
2464,2015-01-01,23,22,18.0,16.0,6.0,3.0,4.0,5.0,2,D,1.4,4.5,8.0,2.0,3.0
2463,2015-01-01,19,16,14.0,9.0,5.0,3.0,4.0,8.0,2,H,3.2,3.2,2.3,5.0,2.0
2462,2015-01-01,1,14,14.0,6.0,3.0,0.0,5.0,2.0,1,D,2.4,3.1,3.1,8.0,3.0
2471,2015-01-01,40,39,8.0,14.0,3.0,3.0,0.0,1.0,1,D,1.85,3.3,4.5,-6.0,0.0
2467,2015-01-01,30,36,24.0,25.0,6.0,6.0,4.0,9.0,2,D,3.0,3.0,2.5,-1.0,0.0
3220,2017-01-01,38,37,6.0,19.0,2.0,6.0,0.0,3.0,0,A,5.5,3.6,1.73,-13.0,-4.0
3219,2017-01-01,0,14,22.0,7.0,7.0,4.0,8.0,4.0,2,H,1.33,5.5,9.0,15.0,3.0
4670,2003-01-01,21,2,12.0,9.0,6.0,5.0,5.0,8.0,2,H,1.57,3.5,5.0,3.0,1.0
4673,2003-01-01,33,37,12.0,11.0,6.0,7.0,5.0,5.0,1,H,2.1,3.2,3.0,1.0,-1.0
4672,2003-01-01,27,23,8.0,5.0,5.0,4.0,4.0,4.0,2,H,2.3,3.1,2.75,3.0,1.0
4671,2003-01-01,25,35,31.0,4.0,18.0,1.0,10.0,2.0,0,H,1.2,5.5,9.0,27.0,17.0
4669,2003-01-01,16,24,12.0,9.0,5.0,2.0,4.0,1.0,1,D,1.9,3.25,3.4,3.0,3.0
4668,2003-01-01,3,26,17.0,7.0,10.0,3.0,5.0,2.0,1,H,1.83,3.3,3.6,10.0,7.0
